,Unnamed: 0,word_lex_0,word_form_0,word_gramm_0,word_lex_1,word_form_1,word_gramm_1,used
27,27,разница,разница,"S,f,inan,nom,sg",возраст,в возрасте,"S,inan,loc,m,sg",False
28,28,запись,запись,"S,f,inan,nom,sg",поле,на полях,"S,inan,loc,n,pl",False
29,29,дело,дело,"S,inan,n,nom,sg",обвинение,по обвинению,"S,dat,inan,n,sg",False
30,30,специалист,специалист,"S,anim,m,nom,sg",область,в области,"S,f,inan,loc,sg",False
31,31,человек,человек,"S,anim,m,nom,sg",имя,по имени,"S,dat,inan,n,sg",False
32,32,известие,известие,"S,inan,n,nom,sg",смерть,о смерти,"S,f,inan,loc,sg",False
33,33,око,око,"S,inan,n,nom,sg",око,за око,"S,acc,inan,n,sg",False
34,34,слово,слово,"S,inan,n,nom,sg",полк,о полку,"S,inan,loc,m,sg",False
35,35,генерал,генерал,"S,anim,m,nom,sg",инфантерия,от инфантерии,"S,f,gen,inan,sg",False
36,36,мысль,мысль,"S,f,inan,nom,sg",смерть,о смерти,"S,f,inan,loc,sg",False
37,37,мысль,мысль,"S,f,inan,nom,sg",возможность,о возможности,"S,f,inan,loc,sg",False
38,38,слеза,слезы,"S,f,inan,nom,pl",глаз,на глазах,"S,inan,loc,m,pl",False
39,39,любовь,любовь,"S,f,inan,nom,sg",бог,к богу,"S,anim,dat,m,sg",False
40,40,человек,человек,"S,anim,m,nom,sg",свет,на свете,"S,inan,loc,m,sg",False
41,41,работа,работы,"S,f,inan,nom,pl",создание,по созданию,"S,dat,inan,n,sg",False
42,42,минута,минута,"S,f,inan,nom,sg",минута,в минуту,"S,acc,f,inan,sg",False
43,43,тоска,тоска,"S,f,inan,nom,sg",родина,по родине,"S,dat,f,inan,sg",False
44,44,выход,выход,"S,inan,m,nom,sg",положение,из положения,"S,gen,inan,n,sg",False
45,45,человек,человек,"S,anim,m,nom,sg",ружье,с ружьем,"S,inan,ins,n,sg",False
46,46,конец,концы,"S,inan,m,nom,pl",вода,в воду,"S,acc,f,inan,sg",False
47,47,библиотека,библиотека,"S,f,inan,nom,sg",чтение,для чтения,"S,gen,inan,n,sg",False
48,48,взгляд,взгляд,"S,inan,m,nom,sg",вещь,на вещи,"S,acc,f,inan,pl",False
49,49,рука,руки,"S,f,inan,nom,pl",шов,по швам,"S,dat,inan,m,pl",False
50,50,вопрос,вопрос,"S,inan,m,nom,sg",отношение,об отношении,"S,inan,loc,n,sg",False
51,51,человек,человек,"S,anim,m,nom,sg",очки,в очках,"S,inan,loc,m,pl",False
52,52,поверенный,поверенный,"S,anim,m,nom,sg",дело,в делах,"S,inan,loc,n,pl",False
53,53,час,час,"S,inan,m,nom,sg",час,от часу,"S,gen2,inan,m,sg",False
54,54,мысль,мысль,"S,f,inan,nom,sg",необходимость,о необходимости,"S,f,inan,loc,sg",False
55,55,исследование,исследования,"S,inan,n,nom,pl",область,в области,"S,f,inan,loc,sg",False
56,56,церковь,церковь,"S,f,inan,nom,sg",имя,во имя,"S,acc,inan,n,sg",False
57,57,шутка,шутки,"S,f,inan,nom,pl",сторона,в сторону,"S,acc,f,inan,sg",False
58,58,рыба,рыба,"S,anim,f,nom,sg",лед,об лед,"S,acc,inan,m,sg",False
59,59,война,война,"S,f,inan,nom,sg",турция,с Турцией,"S,f,inan,ins,sg,topon",False
60,60,сыр,сыр,"S,inan,m,nom,sg",масло,в масле,"S,inan,loc,n,sg",False
61,61,след,след,"S,inan,m,nom,sg",след,в след,"S,acc,inan,m,sg",False
62,62,доклад,доклад,"S,inan,m,nom,sg",министр,у министра,"S,anim,gen,m,sg",False
63,63,вид,вид,"S,inan,m,nom,sg",окно,из окна,"S,gen,inan,n,sg",False
64,64,плечо,плечо,"S,inan,n,nom,sg",плечо,к плечу,"S,dat,inan,n,sg",False
65,65,зуб,зуб,"S,inan,m,nom,sg",зуб,за зуб,"S,acc,inan,m,sg",False
66,66,игра,игра,"S,f,inan,nom,sg",карта,в карты,"S,acc,f,inan,pl",False
67,67,решение,решение,"S,inan,n,nom,sg",создание,о создании,"S,inan,loc,n,sg",False
68,68,вопрос,вопрос,"S,inan,m,nom,sg",возможность,о возможности,"S,f,inan,loc,sg",False
69,69,следствие,следствие,"S,inan,n,nom,sg",дело,по делу,"S,dat,inan,n,sg",False
70,70,любовь,любовь,"S,f,inan,nom,sg",человек,к людям,"S,anim,dat,m,pl",False
71,71,белка,белка,"S,anim,f,nom,sg",колесо,в колесе,"S,inan,loc,n,sg",False
72,72,нога,нога,"S,f,inan,nom,sg",нога,на ногу,"S,acc,f,inan,sg",False
73,73,революция,революция,"S,f,inan,nom,sg",россия,в России,"S,f,inan,loc,sg,topon",False
74,74,генерал,генерал,"S,anim,m,nom,sg",кавалерия,от кавалерии,"S,f,gen,inan,sg",False
75,75,человек,человек,"S,anim,m,nom,sg",лицо,с лицом,"S,inan,ins,n,sg",False
76,76,русский,русские,"S,anim,m,nom,pl",сербия,о Сербии,"S,f,inan,loc,sg,topon",False
77,77,крыша,крыша,"S,f,inan,nom,sg",голова,над головой,"S,f,inan,ins,sg",False
78,78,поездка,поездка,"S,f,inan,nom,sg",москва,в Москву,"S,acc,f,inan,sg,topon",False
79,79,бок,бок,"S,inan,m,nom,sg",бок,о бок,"S,acc,inan,m,sg",False
80,80,приписка,приписка,"S,f,inan,nom,sg",поле,на полях,"S,inan,loc,n,pl",False
81,81,вопрос,вопрос,"S,inan,m,nom,sg",необходимость,о необходимости,"S,f,inan,loc,sg",False
82,82,гора,гора,"S,f,inan,nom,sg",плечо,с плеч,"S,gen,inan,n,pl",False
83,83,ситуация,ситуация,"S,f,inan,nom,sg",страна,в стране,"S,f,inan,loc,sg",False
84,84,покушение,покушение,"S,inan,n,nom,sg",жизнь,на жизнь,"S,acc,f,inan,sg",False
85,85,отношение,отношение,"S,inan,n,nom,sg",дело,к делу,"S,dat,inan,n,sg",False
86,86,война,война,"S,f,inan,nom,sg",япония,с Японией,"S,f,inan,ins,sg,topon",False
87,87,ветер,ветер,"S,inan,m,nom,sg",море,с моря,"S,gen,inan,n,sg",False
88,88,взгляд,взгляд,"S,inan,m,nom,sg",жизнь,на жизнь,"S,acc,f,inan,sg",False
89,89,нос,нос,"S,inan,m,nom,sg",горбинка,с горбинкой,"S,f,inan,ins,sg",False
90,90,комиссия,комиссия,"S,f,inan,nom,sg",председательство,под председательством,"S,inan,ins,n,sg",False
91,91,фото,фото,"S,0,inan,n,nom,sg",архив,из архива,"S,gen,inan,m,sg",False
92,92,ввод,ввод,"S,inan,m,nom,sg",эксплуатация,в эксплуатацию,"S,acc,f,inan,sg",False
93,93,известие,известия,"S,inan,n,nom,pl",телефон,по телефону,"S,dat,inan,m,sg",False
94,94,пропуск,пропуск,"S,inan,m,nom,sg",текст,в тексте,"S,inan,loc,m,sg",False
95,95,гриб,грибы,"S,inan,m,nom,pl",дождь,после дождя,"S,gen,inan,m,sg",False
96,96,жизнь,жизнь,"S,f,inan,nom,sg",земля,на Земле,"S,f,inan,loc,sg,topon",False
97,97,сцена,сцена,"S,f,inan,nom,sg",спектакль,из спектакля,"S,gen,inan,m,sg",False
98,98,капля,капля,"S,f,inan,nom,sg",капля,за каплей,"S,f,inan,ins,sg",False
99,99,взгляд,взгляд,"S,inan,m,nom,sg",мир,на мир,"S,acc,inan,m,sg",False
100,100,аргумент,аргумент,"S,inan,m,nom,sg",польза,в пользу,"S,acc,f,inan,sg",False
101,101,мысль,мысль,"S,f,inan,nom,sg",самоубийство,о самоубийстве,"S,inan,loc,n,sg",False
102,102,запись,запись,"S,f,inan,nom,sg",дневник,в дневнике,"S,inan,loc,m,sg",False
103,103,шаг,шаг,"S,inan,m,nom,sg",путь,на пути,"S,inan,loc,m,sg",False
104,104,земля,земля,"S,f,inan,nom,sg",нога,под ногами,"S,f,inan,ins,pl",False
105,105,спасибо,спасибо,"S,0,inan,n,nom,sg",письмо,за письмо,"S,acc,inan,n,sg",False
106,106,весть,весть,"S,f,inan,nom,sg",смерть,о смерти,"S,f,inan,loc,sg",False
107,107,человек,человек,"S,anim,m,nom,sg",форма,в форме,"S,f,inan,loc,sg",False
108,108,хроника,хроника,"S,f,inan,nom,sg",телефон,по телефону,"S,dat,inan,m,sg",False
109,109,гроб,гроб,"S,inan,m,nom,sg",тело,с телом,"S,inan,ins,n,sg",False
110,110,ключ,ключ,"S,inan,m,nom,sg",понимание,к пониманию,"S,dat,inan,n,sg",False
111,111,мешок,мешки,"S,inan,m,nom,pl",глаз,под глазами,"S,inan,ins,m,pl",False
112,112,дама,дама,"S,anim,f,nom,sg",собачка,с собачкой,"S,anim,f,ins,sg",False
113,113,работа,работа,"S,f,inan,nom,sg",подготовка,по подготовке,"S,dat,f,inan,sg",False
114,114,лоб,лоб,"S,inan,m,nom,sg",лоб,в лоб,"S,acc,inan,m,sg",False
115,115,вопрос,вопрос,"S,inan,m,nom,sg",создание,о создании,"S,inan,loc,n,sg",False
116,116,расположение,расположение,"S,inan,n,nom,sg",выполнение,при выполнении,"S,inan,loc,n,sg",False
117,117,выход,выход,"S,inan,m,nom,sg",свет,в свет,"S,acc,inan,m,sg",False
118,118,дело,дело,"S,inan,n,nom,sg",убийство,об убийстве,"S,inan,loc,n,sg",False
119,119,карта,карты,"S,f,inan,nom,pl",рука,в руки,"S,acc,f,inan,pl",False
120,120,волна,волна,"S,f,inan,nom,sg",волна,за волной,"S,f,inan,ins,sg",False
121,121,производство,производство,"S,inan,n,nom,sg",дело,по делу,"S,dat,inan,n,sg",False
122,122,поездка,поездка,"S,f,inan,nom,sg",граница,за границу,"S,acc,f,inan,sg",False
123,123,стенка,стенка,"S,f,inan,nom,sg",стенка,на стенку,"S,acc,f,inan,sg",False
124,124,вопрос,вопрос,"S,inan,m,nom,sg",соотношение,о соотношении,"S,inan,loc,n,sg",False
125,125,мороз,мороз,"S,inan,m,nom,sg",кожа,по коже,"S,dat,f,inan,sg",False
126,126,человек,человек,"S,anim,m,nom,sg",фамилия,по фамилии,"S,dat,f,inan,sg",False
127,127,любовь,любовь,"S,f,inan,nom,sg",жизнь,к жизни,"S,dat,f,inan,sg",False
128,128,спасибо,спасибо,"S,0,inan,n,nom,sg",совет,за совет,"S,acc,inan,m,sg",False
129,129,разговор,разговор,"S,inan,m,nom,sg",телефон,по телефону,"S,dat,inan,m,sg",False
130,130,небо,небо,"S,inan,n,nom,sg",голова,над головой,"S,f,inan,ins,sg",False
131,131,служба,служба,"S,f,inan,nom,sg",армия,в армии,"S,f,inan,loc,sg",False
132,132,девушка,девушка,"S,anim,f,nom,sg",имя,по имени,"S,dat,inan,n,sg",False
133,133,старик,старик,"S,anim,m,nom,sg",старуха,со старухой,"S,anim,f,ins,sg",False
134,134,цена,цены,"S,f,inan,nom,pl",продукт,на продукты,"S,acc,inan,m,pl",False
135,135,полковник,полковник,"S,anim,m,nom,sg",отставка,в отставке,"S,f,inan,loc,sg",False
136,136,война,война,"S,f,inan,nom,sg",чечня,в Чечне,"S,f,inan,loc,sg,topon",False
137,137,жених,жених,"S,anim,m,nom,sg",невеста,с невестой,"S,anim,f,ins,sg",False
138,138,отношение,отношение,"S,inan,n,nom,sg",мир,к миру,"S,dat,inan,m,sg",False
139,139,надежда,надежда,"S,f,inan,nom,sg",спасение,на спасение,"S,acc,inan,n,sg",False
140,140,голос,голос,"S,inan,m,nom,sg",трубка,в трубке,"S,f,inan,loc,sg",False
141,141,революция,революция,"S,f,inan,nom,sg",китай,в Китае,"S,inan,loc,m,sg,topon",False
142,142,слой,слой,"S,inan,m,nom,sg",слой,за слоем,"S,inan,ins,m,sg",False
143,143,месяц,месяц,"S,inan,m,nom,sg",деревня,в деревне,"S,f,inan,loc,sg",False
144,144,общение,общение,"S,inan,n,nom,sg",человек,с людьми,"S,anim,ins,m,pl",False
145,145,голова,голова,"S,f,inan,nom,sg",голова,к голове,"S,dat,f,inan,sg",False
146,146,завод,завод,"S,inan,m,nom,sg",производство,по производству,"S,dat,inan,n,sg",False
147,147,занавеска,занавески,"S,f,inan,nom,pl",окно,на окнах,"S,inan,loc,n,pl",False
148,148,объяснение,объяснение,"S,inan,n,nom,sg",любовь,в любви,"S,f,inan,loc,sg",False
149,149,руководство,руководство,"S,inan,n,nom,sg",действие,к действию,"S,dat,inan,n,sg",False
150,150,опиум,опиум,"S,inan,m,nom,sg",народ,для народа,"S,gen,inan,m,sg",False
151,151,война,война,"S,f,inan,nom,sg",ирак,в Ираке,"S,inan,loc,m,sg,topon",False
152,152,план,планы,"S,inan,m,nom,pl",будущее,на будущее,"S,acc,inan,n,sg",False
153,153,воля,воля,"S,f,inan,nom,sg",жизнь,к жизни,"S,dat,f,inan,sg",False
154,154,хождение,хождение,"S,inan,n,nom,sg",мука,по мукам,"S,dat,f,inan,pl",False
155,155,буря,буря,"S,f,inan,nom,sg",пустыня,в пустыне,"S,f,inan,loc,sg",False
156,156,человек,человек,"S,anim,m,nom,sg",маска,в маске,"S,f,inan,loc,sg",False
157,157,власть,власть,"S,f,inan,nom,sg",россия,в России,"S,f,inan,loc,sg,topon",False
158,158,любовь,любовь,"S,f,inan,nom,sg",ближний,к ближнему,"S,anim,dat,m,sg",False
159,159,вор,вор,"S,anim,m,nom,sg",закон,в законе,"S,inan,loc,m,sg",False
160,160,комната,комната,"S,f,inan,nom,sg",дом,в доме,"S,inan,loc,m,sg",False
161,161,рецензия,рецензия,"S,f,inan,nom,sg",книга,на книгу,"S,acc,f,inan,sg",False
162,162,шаг,шаг,"S,inan,m,nom,sg",сторона,в сторону,"S,acc,f,inan,sg",False
163,163,проблема,проблемы,"S,f,inan,nom,pl",здоровье,со здоровьем,"S,inan,ins,n,sg",False
164,164,тютелька,тютелька,"S,f,inan,nom,sg",тютелька,в тютельку,"S,acc,f,inan,sg",False
165,165,борьба,борьба,"S,f,inan,nom,sg",терроризм,с терроризмом,"S,inan,ins,m,sg",False
166,166,вопрос,вопрос,"S,inan,m,nom,sg",происхождение,о происхождении,"S,inan,loc,n,sg",False
167,167,искусство,искусство,"S,inan,n,nom,sg",искусство,для искусства,"S,gen,inan,n,sg",False
168,168,жизнь,жизнь,"S,f,inan,nom,sg",москва,в Москве,"S,f,inan,loc,sg,topon",False
169,169,директор,директор,"S,anim,m,nom,sg",маркетинг,по маркетингу,"S,dat,inan,m,sg",False
170,170,коса,коса,"S,f,inan,nom,sg",камень,на камень,"S,acc,inan,m,sg",False
171,171,товарищ,товарищи,"S,anim,m,nom,pl",работа,по работе,"S,dat,f,inan,sg",False
172,172,любовь,любовь,"S,f,inan,nom,sg",женщина,к женщине,"S,anim,dat,f,sg",False
173,173,хата,хата,"S,f,inan,nom,sg",край,с краю,"S,gen2,inan,m,sg",False
174,174,вариация,вариации,"S,f,inan,nom,pl",тема,на тему,"S,acc,f,inan,sg",False
175,175,налог,налог,"S,inan,m,nom,sg",прибыль,на прибыль,"S,acc,f,inan,sg",False
176,176,лист,лист,"S,inan,m,nom,sg",трава,перед травой,"S,f,inan,ins,sg",False
177,177,слово,слово,"S,inan,n,nom,sg",день,в день,"S,acc,inan,m,sg",False
178,178,покушение,покушение,"S,inan,n,nom,sg",убийство,на убийство,"S,acc,inan,n,sg",False
179,179,порох,порох,"S,inan,m,nom,sg",пороховница,в пороховницах,"S,f,inan,loc,pl",False
180,180,кандидат,кандидат,"S,anim,m,nom,sg",член,в члены,"S,acc2,anim,m,pl",False
181,181,месяц,месяц,"S,inan,m,nom,sg",месяц,за месяцем,"S,inan,ins,m,sg",False
182,182,подход,подход,"S,inan,m,nom,sg",решение,к решению,"S,dat,inan,n,sg",False
183,183,дождь,дождь,"S,inan,m,nom,sg",снег,со снегом,"S,inan,ins,m,sg",False
184,184,любовь,любовь,"S,f,inan,nom,sg",ребенок,к детям,"S,anim,dat,m,pl",False
185,185,мать,мать,"S,anim,f,nom,sg",дочь,с дочерью,"S,anim,f,ins,sg",False
186,186,борьба,борьба,"S,f,inan,nom,sg",жизнь,за жизнь,"S,acc,f,inan,sg",False
187,187,шум,шум,"S,inan,m,nom,sg",зал,в зале,"S,inan,loc,m,sg",False
188,188,кот,кот,"S,anim,m,nom,sg",сапог,в сапогах,"S,inan,loc,m,pl",False
189,189,комментарий,комментарий,"S,inan,m,nom,sg",статья,к статье,"S,dat,f,inan,sg",False
190,190,речь,речь,"S,f,inan,nom,sg",защита,в защиту,"S,acc,f,inan,sg",False
191,191,комиссия,комиссия,"S,f,inan,nom,sg",состав,в составе,"S,inan,loc,m,sg",False
192,192,возвращение,возвращение,"S,inan,n,nom,sg",родина,на родину,"S,acc,f,inan,sg",False
193,193,приговор,приговор,"S,inan,m,nom,sg",дело,по делу,"S,dat,inan,n,sg",False
194,194,любовь,любовь,"S,f,inan,nom,sg",искусство,к искусству,"S,dat,inan,n,sg",False
195,195,книга,книги,"S,f,inan,nom,pl",рука,в руки,"S,acc,f,inan,pl",False
196,196,приход,приход,"S,inan,m,nom,sg",власть,к власти,"S,dat,f,inan,sg",False
197,197,бельмо,бельмо,"S,inan,n,nom,sg",глаз,на глазу,"S,inan,loc2,m,sg",False
198,198,шум,шум,"S,inan,m,nom,sg",ухо,в ушах,"S,inan,loc,n,pl",False
199,199,вера,вера,"S,f,inan,nom,sg",человек,в человека,"S,acc,anim,m,sg",False
200,200,налог,налог,"S,inan,m,nom,sg",продажа,с продаж,"S,f,gen,inan,pl",False
201,201,боль,боли,"S,f,inan,nom,pl",желудок,в желудке,"S,inan,loc,m,sg",False
202,202,стук,стук,"S,inan,m,nom,sg",окно,в окно,"S,acc,inan,n,sg",False
203,203,борьба,борьба,"S,f,inan,nom,sg",коррупция,с коррупцией,"S,f,inan,ins,sg",False
204,204,человек,человек,"S,anim,m,nom,sg",плащ,в плаще,"S,inan,loc,m,sg",False
205,205,вода,вода,"S,f,inan,nom,sg",кисель,на киселе,"S,inan,loc,m,sg",False
206,206,палец,палец,"S,inan,m,nom,sg",палец,о палец,"S,acc,inan,m,sg",False
207,207,звезда,звезды,"S,f,inan,nom,pl",небо,на небе,"S,inan,loc,n,sg",False
208,208,обстановка,обстановка,"S,f,inan,nom,sg",страна,в стране,"S,f,inan,loc,sg",False
209,209,сарынь,сарынь,"S,f,inan,nom,sg",кичка,на кичку,"S,acc,f,inan,sg",False
210,210,любовь,любовь,"S,f,inan,nom,sg",россия,к России,"S,dat,f,inan,sg,topon",False
211,211,голос,голос,"S,inan,m,nom,sg",толпа,из толпы,"S,f,gen,inan,sg",False
212,212,война,война,"S,f,inan,nom,sg",германия,с Германией,"S,f,inan,ins,sg,topon",False
213,213,облако,облако,"S,inan,n,nom,sg",штаны,в штанах,"S,inan,loc,m,pl",False
214,214,вода,вода,"S,f,inan,nom,sg",озеро,в озере,"S,inan,loc,n,sg",False
215,215,спина,спина,"S,f,inan,nom,sg",спина,к спине,"S,dat,f,inan,sg",False
216,216,примечание,примечания,"S,inan,n,nom,pl",евангелие,на евангелия,"S,acc,inan,n,pl",False
217,217,любовь,любовь,"S,f,inan,nom,sg",природа,к природе,"S,dat,f,inan,sg",False
218,218,занятие,занятия,"S,inan,n,nom,pl",школа,в школе,"S,f,inan,loc,sg",False
219,219,зверь,зверь,"S,anim,m,nom,sg",клетка,в клетке,"S,f,inan,loc,sg",False
220,220,голос,голос,"S,inan,m,nom,sg",дверь,за дверью,"S,f,inan,ins,sg",False
221,221,отношение,отношение,"S,inan,n,nom,sg",труд,к труду,"S,dat,inan,m,sg",False
222,222,борьба,борьба,"S,f,inan,nom,sg",мир,за мир,"S,acc,inan,m,sg",False
223,223,храм,храм,"S,inan,m,nom,sg",имя,во имя,"S,acc,inan,n,sg",False
224,224,спасибо,спасибо,"S,0,inan,n,nom,sg",внимание,за внимание,"S,acc,inan,n,sg",False
225,225,ситуация,ситуация,"S,f,inan,nom,sg",россия,в России,"S,f,inan,loc,sg,topon",False
226,226,шанс,шансы,"S,inan,m,nom,pl",успех,на успех,"S,acc,inan,m,sg",False
227,227,заметка,заметки,"S,f,inan,nom,pl",поле,на полях,"S,inan,loc,n,pl",False
228,228,положение,положение,"S,inan,n,nom,sg",общество,в обществе,"S,inan,loc,n,sg",False
229,229,появление,появление,"S,inan,n,nom,sg",свет,на свет,"S,acc,inan,m,sg",False
230,230,общество,общество,"S,inan,n,nom,sg",целое,в целом,"S,inan,loc,n,sg",False
231,231,жизнь,жизнь,"S,f,inan,nom,sg",деревня,в деревне,"S,f,inan,loc,sg",False
232,232,свет,свет,"S,inan,m,nom,sg",окошко,в окошке,"S,inan,loc,n,sg",False
233,233,боль,боль,"S,f,inan,nom,sg",сердце,в сердце,"S,inan,loc,n,sg",False
234,234,женщина,женщина,"S,anim,f,nom,sg",имя,по имени,"S,dat,inan,n,sg",False
235,235,окно,окно,"S,inan,n,nom,sg",европа,в Европу,"S,acc,f,inan,sg,topon",False
236,236,подписка,подписка,"S,f,inan,nom,sg",невыезд,о невыезде,"S,inan,loc,m,sg",False
237,237,любовь,любовь,"S,f,inan,nom,sg",человечество,к человечеству,"S,dat,inan,n,sg",False
238,238,дощечка,дощечка,"S,f,inan,nom,sg",надпись,с надписью,"S,f,inan,ins,sg",False
239,239,торжество,торжества,"S,inan,n,nom,pl",случай,по случаю,"S,dat,inan,m,sg",False
240,240,обед,обед,"S,inan,m,nom,sg",честь,в честь,"S,acc,f,inan,sg",False
241,241,оркестр,оркестр,"S,inan,m,nom,sg",управление,под управлением,"S,inan,ins,n,sg",False
242,242,слово,слово,"S,inan,n,nom,sg",неделя,в неделю,"S,acc,f,inan,sg",False
243,243,круг,круги,"S,inan,m,nom,pl",глаз,под глазами,"S,inan,ins,m,pl",False
244,244,шкаф,шкаф,"S,inan,m,nom,sg",книга,с книгами,"S,f,inan,ins,pl",False
245,245,место,место,"S,inan,n,nom,sg",мир,в мире,"S,inan,loc,m,sg",False
246,246,подход,подход,"S,inan,m,nom,sg",проблема,к проблеме,"S,dat,f,inan,sg",False
247,247,кровоизлияние,кровоизлияние,"S,inan,n,nom,sg",мозг,в мозг,"S,acc,inan,m,sg",False
248,248,мост,мост,"S,inan,m,nom,sg",река,через реку,"S,acc,f,inan,sg",False
249,249,контроль,контроль,"S,inan,m,nom,sg",соблюдение,за соблюдением,"S,inan,ins,n,sg",False
250,250,борьба,борьба,"S,f,inan,nom,sg",пьянство,с пьянством,"S,inan,ins,n,sg",False
251,251,вид,вид,"S,inan,m,nom,sg",море,на море,"S,acc,inan,n,sg",False
252,252,человек,люди,"S,anim,m,nom,pl",возраст,в возрасте,"S,inan,loc,m,sg",False
253,253,случай,случай,"S,inan,m,nom,sg",история,в истории,"S,f,inan,loc,sg",False
254,254,работа,работы,"S,f,inan,nom,pl",область,в области,"S,f,inan,loc,sg",False
255,255,посол,посол,"S,anim,m,nom,sg",париж,в Париже,"S,inan,loc,m,sg,topon",False
256,256,бабушка,бабушка,"S,anim,f,nom,sg",дедушка,с дедушкой,"S,anim,ins,m,sg",False
257,257,право,право,"S,inan,n,nom,sg",труд,на труд,"S,acc,inan,m,sg",False
258,258,боль,боль,"S,f,inan,nom,sg",грудь,в груди,"S,f,inan,loc2,sg",False
259,259,требование,требования,"S,inan,n,nom,pl",качество,к качеству,"S,dat,inan,n,sg",False
260,260,известие,известие,"S,inan,n,nom,sg",кончина,о кончине,"S,f,inan,loc,sg",False
261,261,ночь,ночь,"S,f,inan,nom,sg",двор,на дворе,"S,inan,loc,m,sg",False
262,262,проведение,проведение,"S,inan,n,nom,sg",жизнь,в жизнь,"S,acc,f,inan,sg",False
263,263,ситуация,ситуация,"S,f,inan,nom,sg",рынок,на рынке,"S,inan,loc,m,sg",False
264,264,волосок,волосок,"S,inan,m,nom,sg",волосок,к волоску,"S,dat,inan,m,sg",False
265,265,страница,страница,"S,f,inan,nom,sg",страница,за страницей,"S,f,inan,ins,sg",False
266,266,графин,графин,"S,inan,m,nom,sg",вода,с водой,"S,f,inan,ins,sg",False
267,267,кровь,кровь,"S,f,inan,nom,sg",нос,из носу,"S,gen2,inan,m,sg",False
268,268,доска,доска,"S,f,inan,nom,sg",надпись,с надписью,"S,f,inan,ins,sg",False
269,269,снег,снег,"S,inan,m,nom,sg",дождь,с дождем,"S,inan,ins,m,sg",False
270,270,столетие,столетие,"S,inan,n,nom,sg",день,со дня,"S,gen,inan,m,sg",False
271,271,подписка,подписка,"S,f,inan,nom,sg",журнал,на журнал,"S,acc,inan,m,sg",False
272,272,работа,работа,"S,f,inan,nom,sg",организация,по организации,"S,dat,f,inan,sg",False
273,273,удар,удар,"S,inan,m,nom,sg",удар,за ударом,"S,inan,ins,m,sg",False
274,274,уполномоченный,уполномоченный,"S,anim,m,nom,sg",право,по правам,"S,dat,inan,n,pl",False
275,275,полка,полки,"S,f,inan,nom,pl",книга,с книгами,"S,f,inan,ins,pl",False
276,276,событие,события,"S,inan,n,nom,pl",персия,в Персии,"S,f,inan,loc,sg,topon",False
277,277,голова,голова,"S,f,inan,nom,sg",плечо,на плечах,"S,inan,loc,n,pl",False
